微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
NyAWcbOia,"转发理由:#微博辟谣##四川云辟谣#【熊猫斩谣（2023年12月22日）】  
原始用户: 四川辟谣
转发内容: #四川云辟谣# 【熊猫斩谣（2023年12月22日）】#微博辟谣#绵阳一企业发生燃爆事故后释放有害物质？芹菜叶和叶柄谁的营养更高？“数九寒天”来了，当心这些疾病找上门！今天有没有你相信了的谣言？快来戳图查看吧！希望大家对未经核实的信息，不轻信、不盲从、不发布、不传播、不评论。 http://t.cn/A6lp74a0 ",,无,无,False,无,无,2023-12-24 12:34,HUAWEI P40 Pro 5G,0,0,0
NyAxGsKmG,"转发理由:#微博辟谣# 承德警方依法查处一起编造“封锁县城”的网络谣言案  
原始用户: 承德网警
转发内容: 承德警方依法查处一起编造“封锁县城”的网络谣言案 承德警方依法查处一起编造“封锁县城”的网络谣言案  ",,无,无,False,无,无,2023-12-24 11:33,HUAWEI P40 Pro 5G,0,0,0
NyAlWfycH,"转发理由:#微博辟谣# 消防辟谣集装箱失火致一家6口遇难：箱内堆放杂物，无伤亡  
原始用户: 极目新闻
转发内容: 【#消防辟谣集装箱失火致一家6口遇难#：箱内堆放杂物，无伤亡】12月23日，有网友发视频称，上海青浦一集装箱起火，住在里面的一家6口不幸遇难。23日晚，极目新闻记者从青浦区消防救援支队了解到，该集装箱内堆放的是杂物，并没有人居住。上海一集装箱失火致一家6口遇难？消防回应：箱内堆放杂物，无伤亡  原图 ",,无,https://wx3.sinaimg.cn/large/001SsZ0Mgy1hl42ad1oafj60xc0uldjd02.jpg,False,无,无,2023-12-24 11:04,HUAWEI P40 Pro 5G,1,0,0
NytLKoZ5B,"转发理由:#微博辟谣#甘肃公安依法行政处罚编造发布地震谣言网民11人、批评教育105人  
原始用户: 甘肃公安
转发内容: #抗震前线110# 【编造发布地震谣言，违法！】@甘肃公安 提示：互联网不是法外之地，每个公民都应当遵纪守法，谨言慎行，如若发布不实言论将承担相应的法律责任。#抗震救援甘肃公安在行动#  编造发布地震谣言，违法！  ",,无,无,False,无,无,2023-12-23 18:19,HUAWEI P40 Pro 5G,1,0,0
NytC19byR,"转发理由:#微博辟谣# 绵阳一网民因编造网络谣言被依法查处  
原始用户: 绵阳网警
转发内容: 绵阳张某因编造网络谣言被依法查处！        12月22日，绵阳经开区居民张某在微信群中发送一段视频，声称是绵阳某公司爆炸视频，引发网络传播，造成不良社会影响。经查，该视频系9月21日河北沧州爆燃事故视频，张某行为已构成虚构事实散布谣言扰乱公共秩序的违法事实，绵阳市公安局经开区分局依法对其作出行政拘留2日的处罚。       绵阳网警提醒：网络不是法外之地，不要轻信谣言，更不要编造谣言信息，对于恶意造谣、传谣造成严重后果的，公安机关将依法查处！ [组图共2张] 原图 ",,无,"http://ww4.sinaimg.cn/large/3c3e3df9gy1hl3rbzzdazj20k014jdm0.jpg,http://ww1.sinaimg.cn/large/3c3e3df9gy1hl3rbz5wn8j20rq19wk5v.jpg",False,无,无,2023-12-23 17:55,HUAWEI P40 Pro 5G,0,0,1
Nytu48zfH,"转发理由:#微博辟谣# 甘肃消防辟谣搜救犬被埋废墟牺牲  
原始用户: 中国消防
转发内容: 【#甘肃消防辟谣搜救犬被埋废墟牺牲#】近日，甘肃临夏6.2级地震，有消息称“搜救犬救出36人，重返废墟时发生坍塌不幸被埋牺牲，消防员救出它时内脏都被压烂了”，引发网友关注。@甘肃消防 在线辟谣：此消息不实，此次救援未出现搜救犬牺牲，请大家不信谣传谣！ps：请尊重无言小战士们～ http://t.cn/A6lCmnhM ",,无,无,False,无,无,2023-12-23 17:35,HUAWEI P40 Pro 5G,2,0,0
NytingSdm,"转发理由:#微博辟谣# 兰州市一网民散布地震谣言被行拘  
原始用户: 兰州公安城关分局
转发内容: 散布地震谣言，行拘！12月18日23时59分，临夏州积石山发生6.2级地震。兰州市一网民马某在未经证实的情况下，编造地震不实信息，在短视频平台发布“零点兰州6.0级地震，托靠平安”内容。以上不实信息迅速在网络媒体中扩散，引起市民恐慌，严重扰乱了社会公共秩序。经核查，违法行为人马某在未经证实的情况下，编造、散布了该谣言信息。根据《中华人民共和国治安管理处罚法》第二十五条第（一）项之规定，兰州市公安局城关分局于12月21日对马某予以行政拘留七日的处罚。 原图 ",,无,https://wx3.sinaimg.cn/large/9bac1285ly1hl3rgwddyoj20u00gh3z4.jpg,False,无,无,2023-12-23 17:06,HUAWEI P40 Pro 5G,0,0,0
NysWClz4X,"转发理由:#微博辟谣# 重庆长寿区晏家葛兰机场已开工?系谣言  
原始用户: 重庆交通广播
转发内容: 长寿区晏家葛兰机场已开工?系谣言 重庆交通广播的微博视频  ",,无,无,False,无,无,2023-12-23 16:13,HUAWEI P40 Pro 5G,1,0,0
NysbUezk2,"转发理由:#微博辟谣# 官方辟谣！甘肃积石山6.2级地震 搜救犬牺牲为不实信息！  
原始用户: 甘肃网络辟谣举报平台
转发内容: 官方辟谣！甘肃积石山6.2级地震 搜救犬牺牲为不实信息！官方辟谣！甘肃积石山6.2级地震 搜救犬牺牲为不实信息！  原图 ",,无,https://wx3.sinaimg.cn/large/0071e8TEly1hl3mqu1ctej30c70f0dhz.jpg,False,无,无,2023-12-23 14:18,HUAWEI P40 Pro 5G,1,0,0
NyrWz3kcJ,"转发理由:#微博辟谣# 动物园辟谣烟台积雪长颈鹿仅露个头  
原始用户: 新闻晨报
转发内容: 【山东最大积雪深74厘米！#动物园辟谣烟台积雪长颈鹿仅露个头#：应该没有人会当真吧】近日，山东威海、烟台等地频繁遭遇强降雪。截至昨天（22日）8时，威海文登积雪深度达74厘米，打破山东全省最大积雪深度纪录（此前纪录为66厘米）。记者实地探访发现，整条手臂甚至能完全没入雪中。此外，烟台牟平站39厘米，也打破了当地最大积雪深度纪录。烟台成“雪窝子”，动物园只剩长颈鹿露个头？园方：“应该没有人会当真吧”烟台近日连降暴雪，有网友发帖调侃“别问烟台雪多大，动物园里就剩下它”，配图为一只长颈鹿在厚厚积雪中露出头。虽然有不少网友知道这是个段子，但也有网友当真，并担心动物园其他动物的安危。12月22日，烟台动物园回应称，长颈鹿早就躲在暖气房中，不用担心。记者注意到，该烟台网友于12月21日发帖后，引发数千名网友点赞和热议。有人表示这是段子：“一眼就知道是P的。”“这明显运用了夸张的手法。”但也有不少网友信以为真：“非洲来的，也算是见过大世面了。”“但感觉好可怜啊。”还有网友转发表示，这是在虐待动物，还@ 了一个动物保护团队的账号。该团队的账号转发并@ 了烟台发布：“难道不知道预报吗？其它动物遇险了没？”记者注意到，这张长颈鹿雪景图，早在2018年就有网站发布，疑似为PS合成照片。并且，还没到大雪天气，就有网友发此图来配段子，调侃雪太大。12月22日下午，记者联系上发帖的烟台网友，她表示烟台的积雪虽说没有超过长颈鹿的高度，但已经半米多高了。记者又联系了烟台动物园，工作人员称“应该没有人会当真吧”，并表示目前还没有人误信段子后来电询问关于长颈鹿的事情，动物园的长颈鹿目前都待在暖气房内。媒体于2020年探访位于烟台市南山公园的烟台动物园。报道称，别看长颈鹿高高大大的，它却很怕冷，室外温度低于12℃时，就不能外放只能进行室内展出了。动物园给长颈鹿的家里安装了地暖、暖气片和大空调，还细心地在地面上铺设了厚厚的干草，保证长颈鹿的健康。（齐鲁晚报） [组图共4张] 原图 ",,无,"http://ww1.sinaimg.cn/large/001qXXGogy1hl3iq30knqj60xb0q8dhw02.jpg,http://ww2.sinaimg.cn/large/001qXXGogy1hl3iq33blqj60nz0i1tdb02.jpg,http://ww3.sinaimg.cn/large/001qXXGogy1hl3iq30bpwj60hs0bu0u102.jpg,http://ww3.sinaimg.cn/large/001qXXGogy1hl3iq30v2nj60m80erwg502.jpg",False,无,无,2023-12-23 13:40,HUAWEI P40 Pro 5G,2,1,0
NyrOjeAhm,"转发理由:#微博辟谣#“哈国将允许女性之间的同性婚姻”属于假消息  
原始用户: 哈萨克国际通讯社
转发内容: 【事实核查：“哈国将允许女性之间的同性婚姻”属于假消息】http://t.cn/A6l9bOJs在社交媒体上流传的关于“哈萨克斯坦计划允许女性与女性之间的同性婚姻”的消息是一条谣言。根据哈萨克斯坦事实核查网站stopfake.kz消息，近期在哈萨克斯坦的社交媒体上，有一条消息被广泛的传播。该消息称：“为了降低家庭暴力行为的数量，哈萨克斯坦准备允许女性之间的同性婚姻。”stopfake.kz的信息溯源结果显示，该消息的源头是一个名为qaznews24的Instagram账号。该账号在其个人资料界面中标明，该账号属于“讽刺新闻账号”，其发布的所有消息均为编造的内容，包括消息中的所有人物和故事，都是编造出来的。因此，关于“哈国将允许女性之间的同性婚姻”的消息是假消息，不值得采信。 原图 ",,无,https://wx2.sinaimg.cn/large/0078Sek6gy1hl2q9y4f6hj30h00amwhk.jpg,False,无,无,2023-12-23 13:20,HUAWEI P40 Pro 5G,0,0,0
NyrkMmoRc,"转发理由:#微博辟谣# 两网民编造“警察嫖娼”谣言、谎报警情被依法行政拘留  
原始用户: 兰州公安城关分局
转发内容: 2人编造谣言、谎报警情，行拘！李某某、张某编造“警察嫖娼”谣言、谎报警情被依法行政拘留！案情回顾12月21日凌晨3时许，兰州市公安局城关分局接到报警称“有多名警察在某酒吧喝酒嫖娼，你们快去查！”接到报警后，分局相关部门迅速介入调查，连夜梳理信息，经多次调查，最终确定报警人所谓的“事实”纯属子虚乌有，严重损害了人民警察的形象，影响了公安机关执法办案。当日12时许，李某某、张某相继被传唤至东岗派出所接受询问调查。经查，李某某意图邀约张某陪酒娱乐，张某为拒绝该李谎称正在陪警察喝酒，李某某借机虚构事实，拨打110报警电话，谎称发现有民警在酒吧聚众喝酒嫖娼。违法行为人张某、李某某捏造事实、谎报警情，触犯《中华人民共和国治安管理处罚法》第二十五条第（一）项之规定，已依法行政拘留。 [组图共2张] 原图 ",,无,"http://ww2.sinaimg.cn/large/9bac1285ly1hl2q4wc77mj20u00k076r.jpg,http://ww2.sinaimg.cn/large/9bac1285ly1hl2q50fn29j20u00k040f.jpg",False,无,无,2023-12-23 12:07,HUAWEI P40 Pro 5G,4,0,1
NyrdWkyLj,"转发理由:#微博辟谣# 三网民发布涉震类不实信息被庄浪警方依法处理  
原始用户: 甘肃网络辟谣举报平台
转发内容: 【警情通报｜三网民发布涉震类不实信息被庄浪警方依法处理】12月19日，辖区网民王某、苏某、马某三人在某短视频平台发布涉震类不实信息。经公安机关核查，王某、苏某、马某三人在未经证实的情况下，故意编造、散布涉震类不实信息，造成不良社会影响，其行为违反了《中华人民共和国治安管理处罚法》第二十五条第一项之规定，王某、苏某、马某三人因虚构事实扰乱公共秩序被公安机关依法予以行政处罚。警方提醒：互联网不是法外之地，在网上发布信息、言论应遵守法律法规。正所谓“人言可畏”，造谣传谣，扰乱的是人心，影响的是社会正常秩序，切勿在网络上制造和传播未经证实的消息、视频等不实内容，对于编造、传播、散布谣言，扰乱社会秩序的违法行为，公安机关将坚决依法处理！http://t.cn/A6l9JUl7 原图 ",,无,https://wx1.sinaimg.cn/large/0071e8TEly1hl2vjo2gd8j30u01tjtl3.jpg,False,无,无,2023-12-23 11:50,HUAWEI P40 Pro 5G,3,0,0
Nyr5IEjyp,"转发理由:#微博辟谣# 网传广州“限制外卖”？广州市场监管发声：严重不实！  
原始用户: 广州市场监管
转发内容: #官方辟谣# 【网传广州“限制外卖”，广州市场监管发声：严重不实！】网传广州“限制外卖”，广州市场监管发声：严重不实！  原图 ",,无,https://wx2.sinaimg.cn/large/9b8d0d32gy1hl3ft9ui5mj21921jcqv5.jpg,False,无,无,2023-12-23 11:30,HUAWEI P40 Pro 5G,1,0,0
Nyr0glfAn,"转发理由:#微博辟谣# 邯郸一网民因编造网络谣言被依法查处  
原始用户: 邯郸网警
转发内容: 【邯郸刘某某因编造网络谣言被依法查处】近日，河北省邯郸市公安局网巡支队联合丛台区公安分局依法查处一起“摆拍打架视频”，恶意编造传播网络谣言的案件，丛台区公安分局依法对网民刘某某作出行政处罚。12月16日，网民“佳某”在某短网络平台发布视频。内容为两人在雪地上撕扯扭打在一起，并配发文字“河北最新消息，因两个孩子玩雪不小心碰到对方，两个母亲打了起来”，同时添加了急促紧张的背景音乐。该视频一经发布，被广大网民迅速“围观”，并在评论区中@河北公安，造成了不良的社会影响。经多方核实，该视频所述为虚假不实消息。经查，该账号使用人为刘某某，女，26岁，邯郸市丛台区人。到案后，刘某某对其违法事实供认不讳。据刘某某交代，其为了博取网民关注、增加粉丝、吸引流量，找人在雪地上打闹玩耍进行拍摄，掐头去尾剪辑视频，配以不实文字，编造了虚假谣言信息进行发布。根据《中华人民共和国治安管理处罚法》相关规定，丛台区公安分局决定依法对刘某某作出行政处罚。网警提醒：互联网不是法外之地，请广大网民依法依规文明上网，自觉抵制网络谣言，共营造清朗网络空间。对网上编造、传播谣言，扰乱公共秩序的违法犯罪行为，公安机关将坚决依法严厉打击。 原图 ",,无,https://wx4.sinaimg.cn/large/0067zAzjly1hl3gordk8bj30go07gmz0.jpg,False,无,无,2023-12-23 11:16,HUAWEI P40 Pro 5G,0,2,0
Nykhqf3PL,"转发理由:#微博辟谣# 武磊辟谣国足队内冲突  
原始用户: 武磊7
转发内容: 一直以来，每当看到网上这些乱七八糟的东西，我从来都是一笑了之，根本不会理会。但是这两天，越来越多的朋友，队友，亲友都来向我求证。看来是大家都把事情当真了。亚洲杯快要开始了，或许我的球场表现不能让大家满意，但是在场上场下，我们一定是一个团结的集体。谣言止于智者，对于造谣，我“武”话可说 http://t.cn/RqzyNxn 原图 ",,无,https://wx2.sinaimg.cn/large/6cd00c37gy1hl2p38n7o2j20zk148qdg.jpg,False,无,无,2023-12-22 18:09,微博网页版,1,0,0
NyjOWfF8u,"转发理由:#微博辟谣# 网传天津某殡仪馆月薪两万招人？官方：谣言，别信！  
原始用户: 上游新闻
转发内容: #天津殡仪馆月薪两万招人系谣言#【辟谣工作室丨网传天津某殡仪馆月薪两万招人？官方：谣言，别信！】#官方辟谣殡仪馆月薪两万招人#近日，天津的陈先生（化名）在某社交平台发布图文称：殡仪馆20000元一个月都招不到人。他发布的图片是一张七塘镇火葬场招聘抬尸工的启示，招聘方开出了“日薪早班1300元/天、中班1500元/天，每月上班26天，15号发工资”的待遇。有网友被优厚待遇打动，在评论区留言“你别骗我啊，真想去报名”，也有网友指出“七塘火葬场是南宁的，出现在天津地区招聘是怎么回事”。12月22日，上游新闻以应聘者身份联系了发布此信息的陈先生。当记者质疑七塘镇在南宁，陈先生在天津，为何发异地招聘时，陈先生称：“我这是天津的招聘，只是借用了人家的文案。”当记者提出让陈先生提供火葬场招聘的实际联系人时（原文打了马赛克），他提出要求：“有偿招聘，10万，能接受不？”随后他还称，“天津XX殡仪馆、XX殡仪馆、XX殡仪馆都在招聘，工资2万到2万5元一个月。”就陈先生所说的情况，记者致电了他提到的天津市某殡仪馆，一名工作人员在了解相关信息后直接回应：“这不是我们发布的。”她同时强调，“我们最近没有招聘。”随后记者又致电陈先生提到的另一家位于天津市的殡仪馆，这家殡仪馆工作人员也明确表示：“我们没有招聘，如果有招聘的话会发到事业单位招聘网。”就陈先生提到的“有偿招聘，10万”的说法，她特别提醒：“你必须谨慎，我们是事业单位，肯定会以正规途径发布，不会以个人招聘。他找你要钱，千万别相信！”（上游新闻记者 赵映骥）http://t.cn/A6lKs9ew [组图共3张] 原图 ",,无,"http://ww2.sinaimg.cn/large/001y6PXDgy1hl2l6w6yjcj60ku1aaadw02.jpg,http://ww4.sinaimg.cn/large/001y6PXDgy1hl2l6wqi5hj60ku1aago702.jpg,http://ww4.sinaimg.cn/large/001y6PXDgy1hl2l6x5fehj60ku0atq4c02.jpg",False,无,无,2023-12-22 16:59,微博网页版,0,0,0
NyjsCB0yE,"转发理由:#微博辟谣# 网传绵阳经开区一厂房爆炸视频，系9月21日外地一工厂燃爆画面  
原始用户: 绵阳应急
转发内容: 辟谣！网传经开区一厂房爆炸视频，系9月21日外地一工厂燃爆画面！ 绵阳应急的微博视频  原图 ",,无,https://wx3.sinaimg.cn/large/008inVyPly1hl2l37lk06j30go0hdmyx.jpg,False,无,无,2023-12-22 16:04,微博网页版,2,1,0
NyjoOF3xV,#微博辟谣# 临夏19日夜间还有一次8.2级剧烈余震？医保统筹额度年底将清零？鸟群在天空盘旋是地震前兆？本周有没有你相信了的谣言呢？@微博辟谣@捉谣记 联合发布本周谣言榜单。遏制谣言传播空间，净化网络生态环境。快来戳图查看吧。#捉谣记#  原图 ,,https://wx2.sinaimg.cn/large/6f3f16a9ly1hl2mb4o0cej20ku4vs1kx.jpg,无,True,无,无,2023-12-22 15:55,iPhone 13 Pro,4,1,5
Nyinwn9md,"转发理由:#微博辟谣# 公安部召开新闻发布会通报打击整治网络谣言违法犯罪活动举措成效并答  
原始用户: 首都网警
转发内容: 发布了头条文章：《公安部召开新闻发布会通报打击整治网络谣言违法犯罪活动举措成效并答》  公安部召开新闻发布会通报打击整治网络谣言违法犯罪活动举措成效并答  ",,无,无,False,无,无,2023-12-22 13:19,微博网页版,3,1,0
NyhMIAMTL,"转发理由:#微博辟谣# 上海辟谣本地老年公交卡出新规  
原始用户: 看看新闻KNEWS
转发内容: 【严重不实！#上海辟谣本地老年公交卡出新规#】据“上海公共交通卡”微信公众号12月21日发布：近期，有自媒体未经核实擅自发布《上海本地老年公交卡办卡指南》等关于本市交通卡服务的文章，其发布内容严重不实，上海公共交通卡公司未发行过上述文章所提及的老年公交卡。自2016年5月1日起，上海市实施老年综合津贴制度，该制度实施后本市不再实行70周岁以上户籍老年人免费交通制度原社会保障卡副卡 (敬老服务专用)的使用期截止到2016年6月25日。 http://t.cn/A6loWJDp ",,无,无,False,无,无,2023-12-22 11:48,微博网页版,1,0,0
NyhGMfZDU,"转发理由:#微博辟谣# 永靖网警对3名发布地震谣言的违法行为人进行约谈  
原始用户: 永靖网警
转发内容: 严惩不贷！永靖网警对3名发布地震谣言的违法行为人进行约谈！#甘肃地震# 永靖网警的微博视频  ",,无,无,False,无,无,2023-12-22 11:34,微博网页版,3,0,0
NyhxUeHXz,"转发理由:#微博辟谣# 抵制谣言！公安部严打网红大V造谣传谣  
原始用户: 央视新闻
转发内容: 【抵制谣言！#公安部严打网红大V造谣传谣#】公安部有关负责人在今天召开的新闻发布会上表示，网红大V具有较强的网络影响力，公安机关将会同有关部门，依法依规推动行业规范发展。一是紧盯网络谣言线索，对编造传播虚假信息进行“造热点”“蹭热点”“带节奏”的网红大V，以及借机进行造谣引流牟利的“网络水军”团伙，依法严厉打击，并依法依规采取针对性警示、禁言、封号等管理措施。二是分析查找网站平台管理漏洞，督促企业建立完善管理规范和社区公约，推动建立违法账号“黑名单”制度，挤压造谣传谣活动生存空间。三是加强宣传引导，针对重点网红大V群体，开展普法宣传和教育提醒，主动宣讲相关法律法规，教育引导网络大V遵纪守法、抵制谣言。（总台央视记者陈昱）http://t.cn/A6l9LvhA ",,无,无,False,无,无,2023-12-22 11:12,微博网页版,2,0,0
Nyhu9C407,"转发理由:#微博辟谣# 下雪天，青岛有洒水车上路“洒水”?官方辟谣  
原始用户: 信网辟谣
转发内容: 【下雪天青岛有洒水车上路“洒水”？市民误会了】12月20日，青岛迎来降雪。有部分市民路遇洒水车，质疑下雪天洒水车上路“洒水”，引发网友关注。对此，青岛市崂山区城市管理局表示，市民“误会”了。 网页链接  原图 ",,无,https://wx4.sinaimg.cn/large/006utZgYly8hl2bd6ce6oj30j60vhtc9.jpg,False,无,无,2023-12-22 11:02,微博网页版,0,0,0
Nyhptk4jW,"转发理由:#微博辟谣# 警方查处造谣传谣者6300余人，3.4万个网络造谣传谣账号被关停  
原始用户: 央视新闻
转发内容: 【#警方查处造谣传谣者6300余人##3.4万个网络造谣传谣账号被关停#】今天，公安部召开新闻发布会介绍，2023年，全国公安机关依托“净网2023”专项行动，今年4月至7月，针对热点事件中谣言高发等突出问题，公安部组织全国公安机关开展了为期100天的网络谣言专项整治，集中查处整治了一批网上造谣传谣违法犯罪活动。截至目前，全国公安机关已侦办网络谣言类案件4800余起，依法查处造谣传谣人员6300余名，依法关停违法违规账号3.4万个。（总台央视记者陈昱）http://t.cn/A6l92a2E ",,无,无,False,无,无,2023-12-22 10:51,微博网页版,2,0,0
NyaYlw8fo,"转发理由:#微博辟谣# 青海2人转发地震类不实信息被依法处理  
原始用户: 夏都西宁
转发内容: #西宁分享# 【青海2人转发地震类不实信息被依法处理】#夏都西宁# 12月20日，循化县公安局网安民警在网络巡查中发现有网民在微信群中发送涉震类不实信息。经查，苗某某（男，回族）在未经核实的情况下将“公伯峡大坝口震了”等不实信息发送至某微信群（群成员380人）造成不良影响；马某（男，撒拉族）在未经过核实的情况下在某微信群中谈论地震话题，并发布还会继续地震等不实言论。对此，县公安局网安大队对苗某某、马某某依法进行了处理。警方提醒：要自觉遵守相关法律规定，对未经证实的网络消息加强辨别，不造谣、不信谣、不传谣，及时关注官方权威信息，用实际行动支持救援工作共同维护清朗网络空间。 原图 ",,无,https://wx2.sinaimg.cn/large/e757ac7aly1hl1jio35vrj20sh1bfn81.jpg,False,无,无,2023-12-21 18:28,微博网页版,1,0,0
NyawK1RB7,"转发理由:#微博辟谣##四川云辟谣# 【熊猫斩谣（2023年12月21日）】  
原始用户: 四川辟谣
转发内容: #四川云辟谣# 【熊猫斩谣（2023年12月21日）】#微博辟谣#德阳通用电子学校一女生疑遭多名女子殴打？甘肃临夏积石山6.2级地震中的“砂涌现象”是什么？与余震有直接关系吗？注意！这些食物不能与药物一起吃！今天有没有你相信了的谣言？快来戳图查看吧！希望大家对未经核实的信息，不轻信、不盲从、不发布、不传播、不评论。  http://t.cn/A6loqNIG ",,无,无,False,无,无,2023-12-21 17:20,微博网页版,1,0,0
Nya5S2Nq9,#微博辟谣# 微博谣言治理公告（八）微博一直致力于营造安全、文明、友善的社区生态环境，长期以来秉持严厉态度对网络谣言予以坚决打击。为进一步加强对站内不实信息的有效治理，站方持续开展网络谣言专项治理工作，现将一周（12.11-12.17）治理情况公示如下：站方依据《微博社区公约》等相关规定，对巡查发现到的“深圳平安大厦着火”、“香港铜锣湾党群服务中心挂牌”等19类在全网流传的典型谣言予以辟除，共清理相关违规内容1071条，处置账号21个。其中，对最早发布相关谣言的微博账号@矩阵年轮2020@诸葛尘心 予以关闭账号处置。站方将积极履行主体责任，不断完善微博辟谣工作机制，强化信息识别，加大溯源力度，对谣言信息及时打标签加以引导，对违规账号从严快速予以处置。同时也呼吁广大用户，理性讨论，友善发言，不造谣、不信谣、不传谣，与站方一道维护风清气正的网络环境。发现相关违规线索，用户可通过前台举报投诉入口和@微博管理员 方式进行举报，我们将及时予以处置。#微博社区公告# ,,无,无,True,无,无,2023-12-21 16:13,微博网页版,110,19,35
Ny9Av3Kwr,"转发理由:#微博辟谣# 开国少将被造谣成叛徒案宣判：3名被告公开道歉，并分别赔偿  
原始用户: 九派新闻
转发内容: #3人造谣开国少将系叛徒当庭道歉#【#开国少将被造谣成叛徒案宣判#：3名被告公开道歉，并分别赔偿】12月21日，杭州互联网法院对涉嫌抹黑革命英雄何克希案一审公开开庭。三名被告有两个在现场，一个在远程连线参加庭审。法院当庭宣布：3被告三日内在法制日报公开赔礼道歉，并在7日内分别赔偿公益损害赔偿金10万元、4万元、1万元。庭审中，3被告都在庭审最后环节进行了道歉。此前，开国少将何克希的外孙女石女士在社交平台上发文称，自己外公的照片被自媒体私自盗用转发，对照片张冠李戴，外公成了“革命叛徒”。对此行为，石女士及其家人感到无比愤怒，表示相关自媒体涉嫌污蔑英烈，已经完成各种取证，且通知相关部门，将报案追究自媒体的法律责任。@九派新闻 http://t.cn/A6lSjUH0 ",,无,无,False,无,无,2023-12-21 14:56,微博网页版,3,1,0
Ny9usxzFi,"转发理由:#微博辟谣# 存款利率最高达6％？安徽新安银行：不实信息  
原始用户: 每日经济新闻
转发内容: #安徽新安银行辟谣存款利率最高达6％#【存款利率最高达6％？安徽新安银行：不实信息】 每经AI快讯，网传安徽新安银行推出“特色存款”，其中6个月期限的利率最高达到6%。针对上述信息，记者致电安徽新安银行了解到，上述信息不实，该行目前未推出短期存款产品，所有存款类产品中，3年期整存整取利率最高，达3.05％。 （大河财立方；阿法）#商业银行存款利率最高飙至6%# 原图 ",,无,https://wx4.sinaimg.cn/large/001NBLkrly1hl1bifn28pj613o1h248v02.jpg,False,无,无,2023-12-21 14:41,微博网页版,1,0,1
Ny8Dd1QMy,"转发理由:#微博辟谣# 汨罗公安依法查处一起编造传播网络谣言案件  
原始用户: 岳阳晚报社
转发内容: 发布了头条文章：《编造、传播谣言，打击！》  编造、传播谣言，打击！  ",,无,无,False,无,无,2023-12-21 12:30,微博网页版,2,1,0
Ny86Y8e2C,"转发理由:#微博辟谣# 海南住建厅回应网传海南楼市政策松绑：目前没有消息，要以官网通知为准  
原始用户: 财经网
转发内容: 【#海南住建厅回应网传海南楼市政策松绑#：目前没有消息，要以官网通知为准】#海南回应楼市松绑传闻# 12月20日，一份《关于优化调整房地产调控政策有关工作的通知》在海南房地产市场流传，引发关注。通知提到个人住房贷款中住房套数认定标准、降低存量首套住房贷款利率、不动产“带押过户”、二手房交易转让年限、人才购房政策，以及增加多孩（二孩及以上）家庭购买商品住房套数等政策内容调整。对此，海南省住房和城乡建设厅工作人员回应@中国证券报 记者：“目前没有消息，要以官网通知为准。不清楚其他渠道的消息来源。” 原图 ",,无,https://wx3.sinaimg.cn/large/001N82aNly1hl0f1tmhqwj60u01l9qao02.jpg,False,无,无,2023-12-21 11:11,微博网页版,0,0,0
Ny80shrai,"转发理由:#微博辟谣# 临湘公安快速打击一起网络谣言案件  
原始用户: 岳阳网警
转发内容: 发布了头条文章：《【净风4号】临湘公安快速打击一起网络谣言案件！》  【净风4号】临湘公安快速打击一起网络谣言案件！  ",,无,无,False,无,无,2023-12-21 10:55,微博网页版,1,0,0
Ny7Swxazg,"转发理由:#微博辟谣# 中金所有关负责人：“股指期货只允许进行套期保值交易”消息不实  
原始用户: 财联社APP
转发内容: 【中金所有关负责人：“股指期货只允许进行套期保值交易”消息不实】财联社12月20日电，今日，记者关注到有个别自媒体传“股指期货只允许进行套期保值交易”。记者就此消息向中金所方面进行了求证。中金所有关负责人对此回应称，相关内容不属实。同时提醒广大投资者注意甄别信息，不信谣、不传谣。（财联社记者 李凯） 原图 ",,无,https://wx3.sinaimg.cn/large/aafc85c3gy1hl0kx9bkpwj20v91juqih.jpg,False,无,无,2023-12-21 10:35,微博网页版,0,0,0
Ny1790EHR,"转发理由:#微博辟谣##四川云辟谣# 【熊猫斩谣（2023年12月20日）】  
原始用户: 四川辟谣
转发内容: #四川云辟谣# 【熊猫斩谣（2023年12月20日）】#微博辟谣#社保每缴满5年，养老金就进一档？为什么说不要天天敷面膜？警惕！地震逃生避险三大误区！今天有没有你相信了的谣言？快来戳图查看吧！希望大家对未经核实的信息，不轻信、不盲从、不发布、不传播、不评论。   熊猫斩谣（2023年12月20日）  ",,无,无,False,无,无,2023-12-20 17:22,微博网页版,0,0,0
Ny0M4mLoh,"转发理由:#微博辟谣# 市值50亿元以下股票不能买？多家量化私募：没收到这一消息，是谣言  
原始用户: 财联社APP
转发内容: 【市值50亿元以下股票不能买？多家量化机构回应】财联社12月20日电，有市场传闻称“量化要改革，50亿元流通市值以下的股票，量化以后不可加入股票池，也就是不能买。”对此，多家量化私募回应记者：“没收到这一消息，是谣言。” (中证金牛座)  原图 ",,无,https://wx4.sinaimg.cn/large/aafc85c3gy1hl0byv8orij20v91fdn6c.jpg,False,无,无,2023-12-20 16:30,微博网页版,1,0,0
